T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
23.3,27.0,13.5,1007.8,50.0,29.9,6.5,7.2,0.0
23.2,24.6,17.7,1009.7,55.0,28.0,7.2,7.2,0.0
24.3,27.6,17.0,1008.4,40.0,29.9,5.7,7.2,0.0
25.2,28.6,15.4,1006.9,32.0,29.9,7.2,10.7,0.0
24.2,28.2,18.8,1007.7,48.0,29.9,6.5,7.2,0.0
24.2,27.6,13.7,1007.2,46.0,29.9,9.4,21.7,0.0
23.3,27.8,14.5,1007.5,48.0,29.9,6.5,7.2,0.0
21.8,29.4,13.2,1010.0,54.0,29.9,6.7,10.7,0.0
22.1,26.0,13.5,1009.8,63.0,29.9,7.2,7.2,0.0
23.2,26.8,14.5,1008.0,55.0,29.9,6.5,7.2,0.0
19.3,23.8,13.5,1014.1,72.0,20.9,8.0,14.4,0.0
24.1,28.4,17.4,1006.7,49.0,29.0,5.7,7.2,0.0
21.6,24.4,17.2,1009.1,64.0,29.9,8.7,14.4,0.0
20.2,22.0,14.5,1011.2,75.0,29.9,6.5,7.2,0.0
23.8,27.0,14.2,1010.5,57.0,29.9,10.7,14.4,0.0
22.1,25.6,12.8,1011.2,65.0,29.9,9.1,14.4,0.0
23.1,27.2,13.8,1008.0,59.0,29.9,7.2,7.2,0.0
21.7,27.0,12.5,1009.8,63.0,29.0,8.0,10.7,0.0
21.8,25.6,14.5,1011.1,66.0,29.0,6.5,7.2,0.0
22.8,26.8,16.2,1008.3,64.0,27.5,6.3,7.2,0.0
23.3,27.4,12.5,1007.5,56.0,29.9,8.0,14.4,0.0
23.7,28.0,13.0,1008.1,48.0,29.9,6.5,7.2,0.0
22.4,26.6,13.0,1008.2,65.0,29.9,9.1,14.4,0.0
23.3,28.2,12.5,1007.6,58.0,29.9,7.2,7.2,0.0
23.1,26.6,13.4,1006.2,63.0,29.9,7.2,7.2,0.0
20.7,25.8,13.0,1011.2,74.0,28.0,5.7,7.2,0.0
21.4,25.2,12.4,1012.1,72.0,29.9,6.3,7.2,0.0
21.8,25.8,13.0,1011.2,63.0,29.9,6.5,7.2,0.0
22.3,26.0,13.0,1011.1,61.0,29.9,6.5,7.2,0.0
22.1,26.0,13.0,1010.6,66.0,29.9,7.2,7.2,0.0
20.1,23.8,13.6,1012.4,74.0,28.0,7.2,7.2,0.0
20.6,24.0,13.5,1012.3,73.0,29.9,7.2,7.2,0.0
21.1,24.6,13.8,1013.1,69.0,29.9,5.4,7.2,0.0
20.9,23.8,13.5,1011.6,68.0,29.9,7.2,7.2,0.0
21.5,25.8,14.5,1010.2,68.0,29.0,6.5,7.2,0.0
21.3,24.0,12.6,1010.2,71.0,29.9,6.3,7.2,0.0
22.3,25.8,15.2,1009.6,67.0,29.9,7.2,7.2,0.0
23.0,27.0,13.0,1009.9,67.0,29.9,6.3,7.2,0.0
22.6,24.8,14.2,1009.7,70.0,29.9,6.5,7.2,0.0
19.9,23.2,10.6,1012.7,73.0,29.9,6.5,7.2,0.0
20.8,23.2,14.0,1011.7,71.0,28.8,7.2,7.2,0.0
20.8,25.0,13.4,1012.4,71.0,29.9,7.2,7.2,0.0
21.3,25.4,13.5,1011.4,72.0,29.9,6.3,7.2,0.0
20.8,23.4,14.0,1011.6,74.0,29.9,7.2,7.2,0.0
18.9,22.2,12.6,1014.2,83.0,24.9,5.7,7.2,0.0
20.2,23.8,14.4,1010.8,76.0,29.9,7.2,7.2,0.0
18.8,21.2,12.6,1013.5,83.0,29.9,5.7,7.2,0.0
18.4,21.0,14.0,1013.5,86.0,23.8,6.3,7.2,0.0
20.1,24.8,13.0,1011.6,75.0,29.0,6.3,7.2,0.0
18.3,22.8,11.8,1014.4,82.0,29.0,5.7,7.2,0.0
18.5,21.4,12.8,1014.3,81.0,26.1,6.5,7.2,0.0
20.7,24.2,13.0,1011.3,73.0,29.9,7.2,7.2,0.0
18.7,22.4,13.0,1012.7,81.0,29.9,5.4,7.2,0.0
19.9,24.2,16.2,1011.3,73.0,28.0,6.5,7.2,0.0
20.2,23.2,15.0,1011.8,64.0,26.1,6.5,7.2,0.0
19.0,22.6,15.0,1012.3,79.0,29.9,6.3,7.2,0.0
18.7,22.4,13.0,1011.2,77.0,27.5,5.4,7.2,0.0
19.4,22.4,13.5,1010.7,78.0,29.9,6.5,7.2,0.0
19.2,23.4,14.2,1011.3,82.0,29.0,6.3,7.2,0.0
18.9,21.6,14.5,1011.9,72.0,26.1,5.7,7.2,0.0
19.9,23.4,14.5,1011.0,72.0,29.9,6.3,7.2,0.0
20.4,24.2,15.0,1010.2,74.0,29.9,7.2,7.2,0.0
19.1,23.2,15.0,1013.4,77.0,24.0,5.7,7.2,0.0
18.8,22.6,14.6,1014.4,78.0,28.0,6.3,7.2,0.0
18.7,23.4,14.8,1013.0,78.0,28.0,6.3,7.2,0.0
20.7,26.2,13.0,1012.6,67.0,20.0,5.0,7.2,0.0
18.8,23.2,13.6,1014.0,79.0,29.9,6.3,7.2,0.0
20.6,24.6,14.2,1011.1,73.0,22.0,5.7,7.2,0.0
19.1,22.8,13.0,1012.6,76.0,29.9,6.7,7.2,0.0
21.6,26.4,14.5,1009.8,66.0,29.9,7.2,7.2,0.0
21.2,25.8,13.0,1009.7,66.0,29.9,6.5,7.2,0.0
20.9,24.4,14.5,1009.8,69.0,29.9,6.5,7.2,0.0
20.3,24.2,15.5,1010.0,75.0,27.0,5.4,7.2,0.0
21.6,25.2,14.6,1010.6,66.0,27.5,6.3,7.2,0.0
21.3,26.0,16.2,1008.7,66.0,29.9,6.5,7.2,0.0
20.0,24.6,16.0,1010.7,72.0,29.9,6.3,7.2,0.0
21.4,25.4,13.0,1009.9,68.0,29.9,7.2,7.2,0.0
20.9,24.8,14.8,1010.0,68.0,29.9,6.3,7.2,0.0
19.7,23.0,15.2,1011.8,77.0,29.9,7.2,7.2,0.0
20.0,24.8,16.2,1011.1,77.0,29.0,5.7,7.2,0.0
21.8,25.0,15.5,1008.7,65.0,29.9,6.5,7.2,0.0
22.6,26.0,16.6,1009.3,62.0,29.9,7.2,7.2,0.0
21.6,24.4,17.2,1008.8,64.0,29.9,6.3,7.2,0.0
21.3,25.6,13.0,1010.2,69.0,29.9,6.5,7.2,0.0
21.8,25.2,13.5,1010.5,60.0,29.9,5.7,7.2,0.0
21.2,25.0,15.0,1008.9,61.0,29.9,8.7,14.4,0.0
21.6,25.0,13.2,1008.7,60.0,29.9,6.3,7.2,0.0
23.6,26.0,13.5,1008.8,47.0,29.9,9.1,14.4,0.0
21.7,26.3,14.4,1011.6,54.0,29.9,9.8,14.4,0.0
22.3,26.1,14.0,1011.4,49.0,29.9,8.1,10.7,0.0
20.8,25.8,12.0,1010.8,55.0,29.9,6.5,7.2,0.0
21.2,24.2,12.4,1009.5,46.0,29.9,7.2,7.2,0.0
22.4,27.0,10.0,1009.0,29.0,29.9,9.1,14.4,0.0
21.5,24.8,14.4,1010.2,37.0,29.9,7.2,7.2,0.0
19.8,25.0,7.5,1011.4,52.0,29.9,6.5,7.2,0.0
16.8,23.6,6.0,1014.3,62.0,29.9,6.3,10.7,0.0
20.2,23.0,12.0,1012.4,58.0,29.9,6.3,10.7,0.0
19.4,24.0,9.6,1012.5,53.0,29.0,5.4,10.7,0.0
20.3,27.0,8.6,1011.2,47.0,29.9,7.2,10.7,0.0
21.1,27.0,8.8,1007.5,44.0,29.9,8.1,10.7,0.0
20.7,26.4,8.1,1009.9,43.0,29.9,6.3,7.2,0.0
21.9,28.8,8.6,1009.5,37.0,29.9,9.4,14.4,0.0
22.9,28.0,11.5,1007.2,42.0,29.9,7.2,10.7,0.0
23.6,28.6,13.0,1007.7,40.0,29.9,9.8,14.4,0.0
22.2,27.4,9.7,1008.7,38.0,29.9,7.2,10.7,0.0
22.8,28.2,11.7,1008.4,41.0,27.0,9.1,14.4,0.0
24.4,30.0,12.2,1007.2,26.0,29.9,7.2,7.2,0.0
25.9,30.2,14.2,1005.1,27.0,29.9,8.7,14.4,0.0
23.4,28.4,16.5,1007.2,43.0,29.9,6.3,7.2,0.0
26.0,31.0,17.2,1004.6,29.0,29.9,8.7,14.4,0.0
25.8,29.8,14.0,1004.2,27.0,29.9,8.7,14.4,0.0
24.6,29.0,16.5,1006.8,40.0,29.9,8.1,10.7,0.0
24.7,29.4,12.5,1006.6,26.0,29.9,8.1,10.7,0.0
24.5,29.8,13.0,1007.2,28.0,29.9,7.2,14.4,0.0
22.2,25.4,15.5,1010.7,66.0,28.8,6.3,7.2,0.0
22.5,27.6,15.5,1009.0,62.0,29.9,5.4,7.2,0.0
20.2,22.8,15.4,1010.6,75.0,29.9,7.2,7.2,0.0
23.1,27.4,17.4,1008.8,61.0,29.0,6.5,7.2,0.0
23.3,28.4,14.5,1007.6,56.0,29.0,7.2,7.2,0.0
22.9,28.4,17.0,1008.7,61.0,29.9,7.2,14.4,0.0
23.7,28.8,18.0,1007.9,55.0,29.9,6.3,7.2,0.0
21.6,25.8,14.5,1009.7,69.0,29.9,5.7,7.2,0.0
20.6,24.6,17.0,1010.4,76.0,29.9,5.0,7.2,0.0
20.9,24.0,17.2,1009.8,72.0,29.0,8.1,10.7,0.0
22.7,24.6,13.0,1010.2,63.0,29.9,9.1,14.4,0.0
22.8,25.2,16.5,1011.2,61.0,29.9,8.1,14.4,0.0
21.8,26.0,15.0,1010.2,70.0,29.9,6.3,7.2,0.0
21.5,25.2,15.0,1009.9,66.0,29.9,7.2,7.2,0.0
19.8,24.0,15.5,1012.3,80.0,26.1,6.5,14.4,0.0
20.7,24.0,15.0,1012.1,72.0,29.9,6.3,7.2,0.0
20.4,23.4,15.6,1011.1,77.0,29.9,7.2,7.2,0.0
21.2,23.6,14.6,1010.5,73.0,28.8,7.2,7.2,0.0
20.6,25.6,14.6,1010.9,73.0,29.9,7.2,7.2,0.0
20.6,24.6,15.5,1012.0,70.0,26.1,6.5,7.2,0.0
21.2,25.2,15.6,1009.7,74.0,29.9,8.0,14.4,0.0
20.7,24.8,14.5,1011.4,67.0,29.9,6.5,7.2,0.0
20.8,26.0,14.4,1011.0,73.0,29.9,7.2,7.2,0.0
21.5,25.0,14.5,1011.3,69.0,29.9,6.3,7.2,0.0
19.9,22.4,13.0,1011.8,80.0,29.9,6.5,7.2,0.0
22.2,25.0,15.0,1009.9,66.0,27.5,7.2,7.2,0.0
20.8,25.2,13.2,1009.8,71.0,29.9,6.3,7.2,0.0
20.6,24.2,15.0,1010.6,71.0,29.9,6.5,7.2,0.0
19.3,25.0,13.0,1012.4,77.0,24.1,7.2,14.4,0.0
19.8,23.8,14.6,1012.5,79.0,23.0,6.3,7.2,0.0
21.1,25.2,16.5,1010.4,76.0,29.9,5.0,7.2,0.0
21.7,26.4,14.2,1009.8,64.0,29.9,6.5,7.2,0.0
23.5,26.6,14.8,1008.6,56.0,29.9,7.2,7.2,0.0
20.9,25.6,15.2,1010.0,66.0,29.0,9.4,21.7,0.0
23.2,27.0,15.0,1008.5,59.0,29.9,9.1,14.4,0.0
21.6,24.4,16.2,1010.3,74.0,29.9,6.5,7.2,0.0
23.7,26.2,15.6,1008.5,56.0,29.9,7.2,7.2,0.0
24.4,27.4,15.2,1007.3,49.0,29.9,10.7,14.4,0.0
23.1,26.0,16.8,1008.8,64.0,29.9,9.1,14.4,0.0
22.0,24.6,16.1,1009.5,68.0,29.9,6.3,7.2,0.0
22.1,25.8,16.4,1007.9,64.0,29.9,8.1,14.4,0.0
23.8,25.8,16.8,1007.2,57.0,29.9,7.2,7.2,0.0
21.4,26.6,13.4,1011.3,60.0,29.9,6.3,7.2,0.0
24.2,26.4,13.2,1007.0,43.0,29.9,7.2,7.2,0.0
23.9,26.4,13.5,1006.8,42.0,29.9,7.2,7.2,0.0
23.2,25.4,13.0,1010.3,53.0,29.9,6.3,7.2,0.0
21.3,24.0,13.8,1011.9,66.0,27.5,7.2,7.2,0.0
22.5,25.6,13.0,1010.5,64.0,29.9,7.2,7.2,0.0
21.8,24.0,10.6,1010.6,58.0,29.9,6.3,7.2,0.0
21.6,25.4,11.6,1011.5,58.0,29.9,7.2,7.2,0.0
22.9,25.4,12.5,1010.6,60.0,29.9,7.2,7.2,0.0
21.1,24.4,14.2,1011.3,66.0,29.9,6.5,7.2,0.0
22.3,24.8,10.5,1011.7,47.0,29.9,7.2,7.2,0.0
20.5,24.8,9.0,1010.8,50.0,29.9,8.0,14.4,0.0
23.7,26.2,8.0,1008.2,41.0,29.9,9.1,14.4,0.0
20.8,26.6,8.5,1010.5,53.0,29.9,6.3,7.2,0.0
24.5,27.0,11.0,1008.0,40.0,29.9,8.1,14.4,0.0
23.6,27.6,15.4,1009.6,45.0,29.9,6.3,7.2,0.0
26.7,29.4,20.2,1005.5,30.0,29.9,9.1,14.4,0.0
25.6,29.0,13.5,1006.5,42.0,28.8,7.2,7.2,0.0
26.3,30.0,14.6,1006.6,41.0,29.9,7.2,7.2,0.0
27.8,29.5,15.0,1005.7,28.0,29.9,7.2,7.2,0.0
27.2,29.6,11.6,1005.2,39.0,29.9,7.2,7.2,0.0
26.3,29.4,16.5,1008.7,41.0,29.9,9.1,14.4,0.0
22.9,27.8,15.0,1010.8,53.0,29.9,5.4,7.2,0.0
24.2,27.8,17.4,1008.5,46.0,29.9,7.2,7.2,0.0
29.1,30.2,17.7,1008.7,32.0,29.9,5.4,7.2,0.0
26.8,29.2,16.5,1004.5,42.0,28.8,9.8,14.4,0.0
24.6,29.0,15.5,1006.1,51.0,29.9,6.5,7.2,0.0
23.3,27.4,12.0,1009.0,37.0,29.9,8.0,14.4,0.0
22.8,28.2,11.5,1009.3,36.0,29.9,8.1,14.4,0.0
24.8,28.4,11.6,1007.1,25.0,29.9,7.2,7.2,0.0
26.0,29.2,14.5,1004.9,35.0,29.9,8.1,14.4,0.0
25.2,30.4,13.0,1007.1,36.0,29.9,8.1,14.4,0.0
23.7,28.6,12.6,1007.8,38.0,20.0,6.3,7.2,0.0
25.1,27.4,13.2,1007.2,42.0,29.9,6.5,7.2,0.0
25.4,28.8,18.5,1006.5,37.0,29.9,8.0,14.4,0.0
23.9,30.0,13.6,1004.3,34.0,29.9,7.2,7.2,0.0
28.2,30.6,13.5,1002.3,30.0,29.9,9.1,14.4,0.0
25.8,29.0,15.2,1005.5,41.0,29.9,7.2,7.2,0.0
22.4,26.0,16.0,1009.1,56.0,29.9,6.3,7.2,0.0
20.0,22.6,15.6,1012.0,70.0,26.1,7.2,10.7,0.0
23.6,27.8,16.0,1008.2,58.0,29.9,8.0,10.7,0.0
21.0,24.2,16.2,1011.7,68.0,29.9,6.3,7.2,0.0
23.6,26.6,18.0,1008.9,59.0,29.9,8.1,14.4,0.0
23.5,27.0,18.2,1009.6,59.0,29.9,6.3,7.2,0.0
22.6,27.8,14.2,1011.1,65.0,28.0,7.2,7.2,0.0
23.4,28.2,15.6,1009.4,56.0,29.9,6.3,7.2,0.0
22.5,26.4,16.4,1010.1,64.0,29.9,6.3,7.2,0.0
24.1,29.2,15.5,1010.4,52.0,29.9,8.1,14.4,0.0
23.2,27.4,16.0,1010.4,59.0,29.9,9.4,14.4,0.0
21.7,26.2,15.8,1012.0,62.0,29.9,6.3,7.2,0.0
21.6,24.2,15.5,1012.0,67.0,29.9,5.4,7.2,0.0
21.4,26.2,13.5,1012.0,66.0,29.9,6.5,7.2,0.0
22.7,27.2,13.5,1011.0,59.0,29.9,6.5,7.2,0.0
23.4,28.0,15.2,1010.6,57.0,29.9,7.2,7.2,0.0
26.4,28.8,17.5,1007.0,49.0,29.9,7.2,7.2,0.0
23.2,26.6,15.6,1010.3,67.0,29.9,6.5,7.2,0.0
23.1,27.6,14.2,1009.7,66.0,29.9,7.2,7.2,0.0
23.7,28.4,15.0,1008.9,60.0,29.9,7.2,7.2,0.0
21.9,27.0,13.7,1011.5,67.0,29.9,7.2,10.7,0.0
19.1,23.0,13.5,1014.1,74.0,29.0,5.0,7.2,0.0
20.2,26.2,13.4,1012.6,75.0,27.0,5.7,10.7,0.0
21.8,24.0,14.5,1009.9,70.0,29.9,9.1,14.4,0.0
21.6,24.0,15.0,1010.3,71.0,27.0,8.1,10.7,0.0
20.2,23.0,15.0,1012.3,79.0,22.5,6.3,7.2,0.0
